"","COMNAME","NESPP3","SCINAME","Group"
"24","ALBACORE","470","THUNNUS ALALUNGA","Highly Migratory Species"
"80","ATLANTIC SHARPNOSE SHARK","494","RHIZOPRIONODON TERRAENOVAE","Highly Migratory Species"
"132","BIGEYE THRESHER SHARK","354","ALOPIAS SUPERCILIOSUS","Highly Migratory Species"
"133","BIGEYE TUNA","469","THUNNUS OBESUS","Highly Migratory Species"
"158","BLACKTIP SHARK","487","CARCHARHINUS LIMBATUS","Highly Migratory Species"
"171","BLUE SHARK","493","PRIONACE GLAUCA","Highly Migratory Species"
"174","BLUEFIN TUNA","467","THUNNUS THYNNUS","Highly Migratory Species"
"458","LITTLE TUNNY","468","EUTHYNNUS ALLETTERATUS","Highly Migratory Species"
"465","LONGFIN MAKO","358","ISURUS PAUCUS","Highly Migratory Species"
"609","PORBEAGLE SHARK","481","LAMNA NASUS","Highly Migratory Species"
"686","SAND TIGER","349","CARCHARIAS TAURUS","Highly Migratory Species"
"689","SANDBAR SHARK","482","CARCHARHINUS PLUMBEUS","Highly Migratory Species"
"737","SHARK,UNC","359","CHONDRICHTHYES","Highly Migratory Species"
"748","SHORTFIN MAKO","355","ISURUS OXYRINCHUS","Highly Migratory Species"
"789","SKIPJACK TUNA","466","KATSUWONUS PELAMIS","Highly Migratory Species"
"921","SWORDFISH","432","XIPHIAS GLADIUS","Highly Migratory Species"
"934","THRESHER SHARK","353","ALOPIAS VULPINUS","Highly Migratory Species"
"936","TIGER SHARK","491","GALEOCERDO CUVIER","Highly Migratory Species"
"1017","YELLOWFIN TUNA","471","THUNNUS ALBACARES","Highly Migratory Species"
"354","GOOSEFISH","11","LOPHIUS AMERICANUS","Monkfish in Mid-Atlantic Waters"
"355","GOOSEFISH","12","LOPHIUS AMERICANUS","Monkfish in Mid-Atlantic Waters"
"715","SEA SCALLOP","800","PLACOPECTEN MAGELLANICUS","Atlantic Scallops"
"491","MANTIS SHRIMP UNCL","737","STOMATOPODA","Shrimp"
"492","MANTIS SHRIMPS","737","STOMATOPODA","Shrimp"
"541","NORTHERN SHRIMP","736","PANDALUS BOREALIS","Shrimp"
"762","SHRIMP,ATLANTIC & GULF,BROWN","738","PANAEIDAE","Shrimp"
"767","SHRIMP,UNC (CARIDEA)","735","CARIDEA","Shrimp"
"107","BARNDOOR SKATE","368","DIPTURUS LAEVIS","Skates"
"242","CLEARNOSE SKATE","372","RAJA EGLANTERIA","Skates"
"456","LITTLE SKATE","366","LEUCORAJA ERINACEA","Skates"
"557","OCELLATE SKATES","365","RAJA","Skates"
"786","SKATES","365","RAJIDAE","Skates"
