Group Type,Region,Conceptual model group,EMAX group(s),Notes
Focal,GB,Commercial Fishery,Fishery,
Focal,GB,Fished Inverts,Megabenthos filterers,
Focal,GB,Forage Fish,"Sum of Small pelagics--commercial, other, anadromous, and squids",
Focal,GB,Groundfish,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,GB,Protected Species,"Sum of Baleen Whales, Odontocetes, and Seabirds",Pinnipeds not included in GB EMAX
Linked,GB,Benthos,"Sum of Macrobenthos-polychaetes, crustaceans, molluscs, other and Megabenthos-other",
Linked,GB,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
Linked,GB,Detritus and Bacteria,Sum of Bacteria and Detritus-POC,
Linked,GB,Gelatinous zooplankton,Gelatinous zooplankton,
Linked,GB,Primary Production,Phytoplankton-Primary production,
Focal,GOM,Commercial Fishery,Fishery,
Focal,GOM,Fished Inverts,Megabenthos filterers,
Focal,GOM,Forage Fish,"Sum of Small pelagics--commercial, other, anadromous, and squids",
Focal,GOM,Groundfish,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,GOM,Protected Species,"Sum of Baleen Whales, Odontocetes, Pinnipeds, and Seabirds",
Linked,GOM,Benthos,"Sum of Macrobenthos-polychaetes, crustaceans, molluscs, other and Megabenthos-other",
Linked,GOM,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
Linked,GOM,Detritus and Bacteria,Sum of Bacteria and Detritus-POC,
Linked,GOM,Gelatinous zooplankton,Gelatinous zooplankton,
Linked,GOM,Primary Production,Phytoplankton-Primary production,
Focal,MAB,Clams Quahogs,Megabenthos filterers,
Focal,MAB,Commercial Fishery,Fishery,
Focal,MAB,Demerals,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,MAB,Forage Fish,"Sum of Small pelagics--commercial, other, and anadromous",
Focal,MAB,Medium Pelagics,Medium pelagics,
Focal,MAB,Protected Species,Sum of Baleen whales and Odontocetes,Seabirds not included in MAB EMAX
Focal,MAB,Squids,Small pelagics--squids,
Linked,MAB,Benthos,"Sum of Macrobenthos-polychaetes, crustaceans, molluscs, other",
Linked,MAB,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
Linked,MAB,Detritus and Bacteria,Sum of Bacteria and Detritus-POC,
Linked,MAB,Gelatinous zooplankton,Gelatinous zooplankton,
Linked,MAB,Primary Production,Phytoplankton-Primary production,
Linked,MAB,Sharks,Sum of Sharks-pelagic and coastal,
